id,name,popularity,duration_ms,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
60wwxj6Dd9NJlirf84wr2c,Clarity,74,271427,Foxes,7qRll6DYV06u2VuRPAVqug,2012-01-01,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,4
07nH4ifBxUB4lZcsf44Brn,Blame (feat. John Newman),76,212960,John Newman,34v5MVKeQnIo0CWYMbbrPf,2014-10-31,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,4
6YUTL4dYpB9xZO5qExPf05,Summer,80,222533,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2014-10-31,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4
75kMrDKPJJpgEQaXVh7QMB,Pray to God (feat. HAIM),62,232227,HAIM,4Ui2kfOqGujY81UcPrb5KE,2014-10-31,0.606,0.949,7,-2.749,0,0.0414,0.015,2.76e-05,0.109,0.436,120.031,4
5M9jOReAKGZ2AttVefFjTY,Don't Look Down (feat. Usher),63,223140,Usher,23zg3TcAtWQy7J6upgbUnj,2015-03-17,0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991,4
515YMHS5wLNVJNkG5foJOb,Open Heart,0,244013,Lissie,3j4FHbC5zwmYGJ7r0ZgaMt,2015-02-24,0.583,0.829,2,-2.767,0,0.0379,0.0949,0.0,0.234,0.381,127.963,4
6UO755OcSvOPVVZOaJVH7v,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,50,179960,Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg,2014-09-19,0.548,0.723,6,-6.002,1,0.0375,0.0969,1.28e-05,0.337,0.499,125.088,4
1kwsuHJ6UvjAL8Y9ItyeS2,Help - Elephante Remix,26,272344,Elephante,3fjs4zbBFxEFFe8Wyojo0G,2014-09-08,0.59,0.798,7,-3.772,0,0.0482,0.000684,0.0755,0.0804,0.223,128.009,4
1h5Oa90yXQVUNCEG3vnQYO,You - Still Young Remix,19,353163,Still Young,36OHRfWvgcTohhk0st9VC4,2014-05-26,0.652,0.751,6,-5.777,0,0.149,0.000217,1.18e-06,0.0871,0.402,127.996,4
56T1QA7202iW7fZes2PTUe,I Can't Stop Drinking About You - Chainsmokers Remix,47,263960,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,2014-08-25,0.637,0.664,3,-7.335,0,0.0388,0.0451,8.57e-06,0.0976,0.361,128.009,4
