id,name,popularity,duration_ms,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
15BQ7vEDv2LJuh8TxWIhtd,The Passenger,72,283360,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,1977-08-29,0.498,0.889,0,-5.413,1,0.0546,0.0947,1.62e-06,0.733,0.696,134.88,4
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,77,241307,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,1984-06-04,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,4
5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,77,237000,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,1980,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,4
6A9mKXlFRPMPem6ygQSt7z,Three Little Birds,30,180267,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,1977-06-03,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,4
48UPSzbZjgc449aqz8bxox,Californication,81,329733,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,1999-06-08,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,80,269000,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,2002-07-09,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,4
2aibwv5hGXSgw7Yru8IYTO,Snow (Hey Oh),79,334667,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,2006-05-09,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,4
64BbK9SFKH2jk86U3dGj2P,Otherside,79,255373,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,1999-06-08,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,81,264307,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,1991-09-24,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
11IzgLRXV7Cgek3tEgGgjw,Under Pressure - Remastered 2011,70,248440,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,1982-05-03,0.671,0.711,2,-7.813,1,0.0478,0.422,0.0,0.104,0.466,113.809,4
7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,72,354320,Queen,1dfeR4HaWDbWqFHLkxsg1d,1975-11-21,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,4
7hQJA50XrCWABAu5v6QZ4i,Don't Stop Me Now - Remastered 2011,72,209413,Queen,1dfeR4HaWDbWqFHLkxsg1d,1978-11-10,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,4
5PntSbMHC1ud6Vvl8x56qd,Loser,70,235000,Beck,3vbKDsSS70ZX9D2OcvbZmS,1994-03-01,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,4
28AgTOIZke8nitD0NNeb3G,Up All Night,53,190448,Beck,3vbKDsSS70ZX9D2OcvbZmS,2017-10-13,0.635,0.909,1,-4.796,0,0.0553,0.00384,0.0852,0.239,0.639,110.005,4
14zhqtMI5xHrfCFCLhFcsn,Dreams,55,314487,Beck,3vbKDsSS70ZX9D2OcvbZmS,2017-10-13,0.582,0.938,1,-5.726,0,0.0392,0.000733,0.0202,0.0841,0.8,113.999,4
5uBKhKWTJ4E47rcLQqu3YH,I Shot The Sheriff,59,279720,The Wailers,6uSKeCyQEhvPC2NODgiqFE,1973-10-19,0.801,0.641,8,-9.349,1,0.173,0.34,4.5e-05,0.0693,0.741,96.96,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,82,257800,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,79,270213,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,1977-02-04,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
5ihS6UUlyQAfmp48eSkxuQ,Landslide,76,199493,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,1975-07-11,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,77,226653,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,1987-04-13,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,4
08o75xMKmGrKny6GsXrNJW,Little Lies,63,218040,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,1988-11-21,0.63,0.688,2,-9.816,1,0.0266,0.124,4.78e-05,0.158,0.893,124.825,4
10Nmj3JCNoMeBQ87uw5j8k,Dani California,76,282160,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,2006-05-09,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,4
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,84,293827,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,1982-11-30,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,4
